date,ndvi,evi,gndvi,savi,temperature,precipitation,location,crop_type
2020-09-29,0.3148,0.1729,0.28332,0.26758000000000004,14.73,4.1,"Traverse City, MI",cherry
2020-10-06,0.31306,0.17714,0.281754,0.26610100000000003,14.73,4.1,"Traverse City, MI",cherry
2020-10-07,0.31132000000000004,0.18137999999999999,0.280188,0.264622,13.1,0.74,"Traverse City, MI",cherry
2020-10-08,0.30958,0.18562,0.27862200000000004,0.263143,11.73,0.03,"Traverse City, MI",cherry
2020-10-09,0.30784,0.18986,0.277056,0.261664,14.99,0.0,"Traverse City, MI",cherry
2020-10-10,0.30610000000000004,0.1941,0.27549,0.260185,12.57,0.02,"Traverse City, MI",cherry
2020-10-11,0.30436,0.19834,0.273924,0.25870600000000005,11.1,0.01,"Traverse City, MI",cherry
2020-10-12,0.30262,0.20257999999999998,0.272358,0.25722700000000004,13.02,13.18,"Traverse City, MI",cherry
2020-10-13,0.30088,0.20682,0.27079200000000003,0.25574800000000003,13.0,0.42,"Traverse City, MI",cherry
2020-10-14,0.29914,0.21106,0.269226,0.254269,11.63,6.75,"Traverse City, MI",cherry
2020-10-15,0.2974,0.2153,0.26766,0.25279,8.78,2.35,"Traverse City, MI",cherry
2020-10-16,0.2880375,0.2064625,0.25923375,0.244831875,7.21,6.32,"Traverse City, MI",cherry
2020-10-17,0.278675,0.197625,0.2508075,0.23687375000000002,8.27,2.68,"Traverse City, MI",cherry
2020-10-18,0.2693125,0.1887875,0.24238125000000002,0.228915625,7.06,5.65,"Traverse City, MI",cherry
2020-10-19,0.25995,0.17995,0.23395500000000002,0.22095750000000003,5.1,0.85,"Traverse City, MI",cherry
2020-10-20,0.2505875,0.1711125,0.22552875,0.21299937500000002,5.78,8.36,"Traverse City, MI",cherry
2020-10-21,0.241225,0.162275,0.2171025,0.20504125,7.88,2.1,"Traverse City, MI",cherry
2020-10-22,0.2318625,0.1534375,0.20867625,0.19708312500000003,7.18,46.24,"Traverse City, MI",cherry
2020-10-23,0.2225,0.1446,0.20025,0.18912500000000002,6.88,23.63,"Traverse City, MI",cherry
2020-10-24,0.2131375,0.1357625,0.19182375000000002,0.181166875,4.28,0.8,"Traverse City, MI",cherry
2020-10-25,0.203775,0.126925,0.18339750000000002,0.17320875000000002,3.37,3.56,"Traverse City, MI",cherry
2020-10-26,0.1944125,0.1180875,0.17497125000000002,0.165250625,3.72,3.1,"Traverse City, MI",cherry
2020-10-27,0.18505,0.10924999999999999,0.166545,0.1572925,3.9,0.6,"Traverse City, MI",cherry
2020-10-28,0.1756875,0.10041249999999999,0.15811875000000003,0.14933437500000002,6.57,1.98,"Traverse City, MI",cherry
2020-10-29,0.166325,0.09157499999999999,0.1496925,0.14137625,3.77,0.37,"Traverse City, MI",cherry
2020-10-30,0.1569625,0.08273749999999999,0.14126625,0.133418125,1.99,0.23,"Traverse City, MI",cherry
2020-10-31,0.1476,0.0739,0.13284,0.12546000000000002,5.23,4.67,"Traverse City, MI",cherry
2020-11-01,0.14514375000000002,0.0727625,0.13062937500000002,0.12337218750000001,2.67,3.09,"Traverse City, MI",cherry
2020-11-02,0.1426875,0.071625,0.12841875000000003,0.12128437500000001,5.59,0.01,"Traverse City, MI",cherry
2020-11-03,0.14023125,0.0704875,0.126208125,0.11919656250000002,9.64,0.0,"Traverse City, MI",cherry
